GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gateway,com.universite.domain,User,56,76,10,0,10,30,10,19,5,19
Gateway,com.universite.domain,UserCallback,11,0,0,0,3,0,3,0,3,0
Gateway,com.universite.domain,AbstractAuditingEntity,0,37,0,0,0,17,0,9,0,9
Gateway,com.universite.domain,AuthorityCallback,11,0,0,0,3,0,3,0,3,0
Gateway,com.universite.domain,Authority,15,47,2,8,4,14,4,11,3,7
Gateway,com.universite.web.rest,LogoutResource,60,0,0,0,13,0,4,0,4,0
Gateway,com.universite.web.rest,AccountResource,34,0,4,0,9,0,6,0,4,0
Gateway,com.universite.web.rest,AccountResource.AccountResourceException,4,0,0,0,2,0,1,0,1,0
Gateway,com.universite.web.rest,AuthorityResource,115,0,2,0,31,0,10,0,9,0
Gateway,com.universite.web.rest,GatewayResource,78,0,2,0,18,0,4,0,3,0
Gateway,com.universite.web.rest,AuthInfoResource.AuthInfoVM,26,0,0,0,10,0,5,0,5,0
Gateway,com.universite.web.rest,PublicUserResource,55,0,0,0,12,0,6,0,6,0
Gateway,com.universite.web.rest,AuthInfoResource,12,0,0,0,2,0,2,0,2,0
Gateway,com.universite.repository,EntityManager,352,0,24,0,82,0,28,0,16,0
Gateway,com.universite.repository,UserSqlHelper,73,0,0,0,11,0,2,0,2,0
Gateway,com.universite.repository,UserRepositoryInternalImpl,208,0,4,0,43,0,17,0,15,0
Gateway,com.universite.repository,EntityManager.LinkTable,21,0,0,0,8,0,1,0,1,0
Gateway,com.universite.security,SecurityUtils,66,97,7,7,11,23,10,12,4,11
Gateway,com.universite.web.filter,OAuth2ReactiveRefreshTokensWebFilter,60,0,2,0,18,0,6,0,5,0
Gateway,com.universite.security.oauth2,AudienceValidator,0,49,0,2,0,11,0,4,0,3
Gateway,com.universite.aop.logging,LoggingAspect,117,0,10,0,25,0,11,0,6,0
Gateway,com.universite,GatewayApp,162,0,12,0,37,0,12,0,6,0
Gateway,com.universite.service.dto,UserDTO,78,11,14,0,18,4,15,1,8,1
Gateway,com.universite.service.dto,AdminUserDTO,83,107,0,0,27,31,14,15,14,15
Gateway,com.universite.web.rest.vm,RouteVM,24,0,0,0,10,0,7,0,7,0
Gateway,com.universite.web.rest.errors,FieldErrorVM,21,0,0,0,8,0,4,0,4,0
Gateway,com.universite.web.rest.errors,ErrorConstants,7,0,0,0,2,0,1,0,1,0
Gateway,com.universite.web.rest.errors,BadRequestAlertException,44,0,0,0,16,0,5,0,5,0
Gateway,com.universite.web.rest.errors,ExceptionTranslator,498,0,88,0,91,0,68,0,24,0
Gateway,com.universite.service.mapper,UserMapper,95,135,12,6,26,38,11,12,5,9
Gateway,com.universite.service,UserService,543,0,52,0,125,0,51,0,25,0
Gateway,com.universite.config,LiquibaseConfiguration,128,0,6,0,28,0,7,0,4,0
Gateway,com.universite.config,DatabaseConfiguration.DurationWriteConverter,17,0,2,0,3,0,3,0,2,0
Gateway,com.universite.config,SecurityConfiguration.2.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
Gateway,com.universite.config,ApplicationProperties,3,0,0,0,1,0,1,0,1,0
Gateway,com.universite.config,DatabaseConfiguration.ZonedDateTimeWriteConverter,12,0,0,0,3,0,2,0,2,0
Gateway,com.universite.config,DatabaseConfiguration.DurationReadConverter,17,0,2,0,3,0,3,0,2,0
Gateway,com.universite.config,LoggingConfiguration,64,0,8,0,16,0,6,0,2,0
Gateway,com.universite.config,DatabaseConfiguration,57,0,0,0,14,0,5,0,5,0
Gateway,com.universite.config,EurekaWorkaroundConfiguration,19,0,2,0,7,0,4,0,3,0
Gateway,com.universite.config,AsyncConfiguration,49,0,0,0,12,0,4,0,4,0
Gateway,com.universite.config,DatabaseConfiguration.ZonedDateTimeReadConverter,13,0,0,0,3,0,2,0,2,0
Gateway,com.universite.config,DateTimeFormatConfiguration,14,0,0,0,5,0,2,0,2,0
Gateway,com.universite.config,JacksonConfiguration,21,0,0,0,5,0,3,0,3,0
Gateway,com.universite.config,DatabaseConfiguration.InstantReadConverter,13,0,0,0,3,0,2,0,2,0
Gateway,com.universite.config,LoggingAspectConfiguration,8,0,0,0,2,0,2,0,2,0
Gateway,com.universite.config,WebConfigurer,73,0,4,0,19,0,8,0,6,0
Gateway,com.universite.config,CRLFLogConverter,142,0,14,0,24,0,12,0,5,0
Gateway,com.universite.config,ReactorConfiguration,4,0,0,0,3,0,1,0,1,0
Gateway,com.universite.config,DatabaseConfiguration.BitSetReadConverter,14,0,0,0,3,0,2,0,2,0
Gateway,com.universite.config,SecurityConfiguration,428,0,4,0,84,0,26,0,24,0
Gateway,com.universite.config,DatabaseConfiguration.InstantWriteConverter,13,0,0,0,3,0,2,0,2,0
Gateway,com.universite.config,JacksonConfiguration.new JsonSerializer() {...},11,0,0,0,3,0,2,0,2,0
Gateway,com.universite.config,SecurityConfiguration.new Converter() {...},11,0,0,0,2,0,2,0,2,0
Gateway,com.universite.config,SecurityConfiguration.new ReactiveJwtDecoder() {...},178,0,12,0,30,0,17,0,11,0
Gateway,com.universite.repository.rowmapper,ColumnConverter,63,0,10,0,15,0,8,0,3,0
Gateway,com.universite.repository.rowmapper,UserRowMapper,91,0,0,0,13,0,2,0,2,0
